# tsumugu-ed public character form list · char	pinyin	gloss	parts(glyph=role:identity | ...)	form-zh · built 2026-08-26 from entries/chars
乃	nǎi	conj/pron — then, thereupon	乃=form:a curl of breath caught coming out, drawn as one bent stroke	一筆彎彎的，畫的是出得艱難、頓一頓才出來的氣——這字本身的樣子。被借去當虛詞：轉折句子的「於是、就」（乃至、乃是），古文裡又當「你、你的」——乃父。
久	jiǔ	adjective — long in time	久=form:rendered bare — three strokes	三筆。老講法（說文）把久連到灸——小火貼著身體慢慢燒：艾灸靠的是不動，字留下的是那一段時間。很久、好久不見。
之	zhī	particle — of, 's	止=meaning:a foot | 一=meaning:the line it steps from — the ground	一隻腳（止）踩在一條線（一）上，正要出發——本義是去、往。文法把這個「走」借走了：連起詞和詞的之（之間、三分之一），和文言裡的那個「它」（求之不得）。
乎	hū	particle — marks a question or exclamation	乎=form:rendered bare — the breath rising off the tongue, no object to picture	句末吐出的一口氣，尾音往上挑——整個字就是這股上揚的聲。它指不出一件實物，只有問、只有嘆的那個語氣。把聲音借給了 呼，張口呼喊的呼。
乏	fá	noun/adj — lack	正=form:正 zhèng flipped over	把「正」（端正、走在正道上）翻過來，方向就反了、偏了——這就是乏，東西不夠的地方。由此：缺乏、匱乏，連身子累垮也是乏——疲乏。
乒	pīng	onomatopoeia — a sharp clack or ping	兵=form:the soldier 兵, with its left foot knocked off	兵（士兵）少了左腳那一撇——就是乒，一個專門當聲音造的字：東西相撞那一聲脆響。和乓（少了另一隻腳）配成一對，就是乒乓——桌球的來回聲。
乓	pāng	onomatopoeia — a heavier bang or pong	兵=form:the soldier 兵, with its right foot knocked off	兵（士兵）少了右腳那一捺——就是乓，造來當聲音：比它的雙生兄弟更重的一聲砰。和乒（少了左腳）配成一對，就是乒乓——桌球。
乖	guāi	adjective — well-behaved, obedient	乖=form:rendered bare — the old pieces left no readable trace	古字畫兩樣東西背對背、朝相反方向——意思是違背、不順：乖戾、乖張。這些部件在 乖 裡已經拆不開了。日常的意思翻了過來：不吵不鬧的小孩，現在叫乖。
乘	chéng/shèng	verb — to ride, mount	大=meaning:a person, arms out — worn into the 禾-shaped middle of the modern glyph | 木=meaning:a tree — flattened into the bottom strokes	一個人（大）爬上樹（木），站在頂上——登、騎、坐上去。後人抄寫把站著的人磨成中間像禾的形，把樹攤平在底下，兩塊都看不清了。從登上去：乘車、乘船；一層疊一層，就是乘法；讀 shèng，是登上的兵車——千乘之國。
乙	yǐ	noun — the second heavenly stem	乙=form:rendered bare — one bent stroke, told two ways	一道彎筆。古文字有兩個說法：一隻飛過天空的玄鳥（燕子）彎著身子，或是一株嫩芽彎著從春天的泥土裡頂出來。當天干第二位，排在甲後面：乙等。
九	jiǔ	num — nine	九=form:an arm bent at the elbow, hand curled in to reach	手臂彎起，手心朝裡掏——古字畫的就是這個彎鉤。數字很早借走了它，沒再還；九也當「最高、最深」用：九霄、九泉。
乞	qǐ	verb — to beg, to ask for	乞=form:气 (rising vapor) worn down a stroke, the breath of a plea	氣（气，上升的雲氣）磨掉一筆——剩下的乞，被借去當求告的那口氣：乞討、請求。從這「求」來了乞討、乞丐；求人憐憫是乞憐。
也	yě	adverb — also, too	也=form:rendered bare — no claimed origin	三筆，一個整體。文言裡它收句尾；現在說也：我也是。當聲符蓋出他、地、池、拖——讀音都磨得遠了。
乳	rǔ	noun — milk	孚=meaning:a hand (爪) over a child (子) — holding, brooding | 乙=form:a curl at the right — the bird, or the nursing posture	古字對孚有兩個說法：一隻手罩在孩子上（爪在子上），是護著、餵著的畫面，右邊一道彎筆（乙）；或是孚（fú）當聲符——它帶出孵 fū、俘 fú、浮 fú 一串字——配上肉，指那餵奶的身體。兩種說法都落在奶和餵奶：乳房、乳汁、哺乳、乳兒。
乾	gān/qián	adjective — dry	乙=meaning:vapor twisting upward as it rises off and dries | 倝=sound:gān — gives the sound	右邊 倝（gān）——旭日從旗幟後升起的清晨——管聲音。左邊 乙 是水氣扭著往上散，像濕東西在朝陽下蒸乾。合起來：乾燥、乾淨。讀 qián，同一個字指天、指陽——乾坤。
亂	luàn	verb/adj — in disorder, chaotic	𤔔=meaning:two hands working a tangle of silk threads on a frame — the worn left block | 乚=meaning:a hooked hand reaching in to straighten the thread	左邊一大塊 𤔔，是上下兩隻手夾著一架纏住的絲線（中間的 厶 就是那團亂絲）。右邊的鉤 乚 是又一隻手，把線抽直。整個字同時收著兩頭：一團亂線，和理線的功夫——混亂是那團亂，治亂是那番理。
了	le/liǎo	particle — completed action	了=form:子 with the arm-stroke folded away — a child swaddled tight	字形是子收掉手臂那一橫——裹得緊緊的嬰兒，手臂包在裡面。句尾的 le，是 liǎo 在口語裡磨輕的音。
予	yǔ	verb — to give, to grant, to bestow	予=form:rendered bare — a giving gesture, two parts pushed across	字形畫的是「給」的手勢——一樣東西推過去、交出來。從這裡引出授予、賦予、給予。當聲音用，蓋出一排字：野、預、豫、舒。
事	shì	noun — matter, affair	事=form:a hand gripping a tally-staff — drawn whole	一隻手握住記事的杆子——身上擔著的差事。一個圖長出三個字：事是差事，史是記事的史官，吏是辦事的官吏。從差事生出一切的事：事情、故事、軍事。
二	èr	num — two	二=form:two strokes — the count laid down	兩橫，一上一下——數到二，就照這樣擺出來。
于	yú	prep — in, at, to, from (a preposition)	于=form:two strokes turned by a hook	徹頭徹尾的虛詞：把動詞接到地點、時間、對象上的那個關節——生于、勇于、出于。它標的是在哪、到哪、向著什麼。
互	hù	adverb — mutually, each other	互=form:rendered bare — a winding rope-reel, top and bottom hooking opposite ways	字形畫一個繞繩的木軸——上下兩個鉤從相反方向咬住，彼此扣著。從這「兩頭互咬」引出相互、彼此。幾乎只出現在互相、互助、交互——這一邊和那一邊，扣在一起。
五	wǔ	num — five	五=form:two strokes crossed between an upper and a lower line	刻痕疊到四還行，到五就數不清了。所以改成交叉：上下兩橫，中間打一個叉——五。
井	jǐng	noun — a well	井=form:the wooden frame around a well's mouth — four logs crossed at the corners	四根木頭交叉，圍出井口。從水井起，凡是挖進地裡的坑都是井：礦井、井田。這個框還蓋出 阱，掩起來的陷阱。
些	xiē	measure — some, a few	些=form:rendered bare — 此 set over 二, no claimed mechanism	不數清楚的一把——一些、這些、有些。字形是此下加二；它的工作都在詞裡。
亞	yà	noun/adj — second	亞=form:rendered bare — two tellings, no settled origin	古文字有兩個說法：一個駝背彎腰的人，由此引出「次一等」；或是墓室十字形的平面圖，方方正正的地。不論哪個，今義都落在「第二」：亞軍、亞洲（借音）。當聲符，蓋出「惡」。
亡	wáng	verb — to flee	亡=form:a person bending into a hidden corner — fleeing out of sight	一個人彎身躲進角落，看不見了——逃走、不見。從逃走到失去（跑掉的，就沒了），再到死亡（人最後的離去）。當聲音用，帶出 忘（忘記）、忙（忙碌）。
交	jiāo	verb — to cross	交=form:a person standing with legs crossed	一個站著的人，兩腿在腳踝交叉——交。路跟路交（交通、交叉），東西從一手交到另一手（交給、交換），人跟人交（交朋友）。當聲音用，自己排出一列字：校、較、效。
亦	yì	adverb — also, too	大=form:a standing person seen head-on, arms out — now flattened into the top of the graph | 八=form:two marks under the arms — pointing at the armpits, the sides of the body	一個人張開手臂（大），手臂底下點兩筆，指著腋下——身體的兩側。那個人已經磨平成上面一橫。如今的常義是「也、同樣」：亦…亦…，這邊那邊，一個樣。
享	xiǎng	verb — to enjoy	亠=form:the roof of a raised hall | 口=form:the walls of the hall below the roof | 子=form:the base, worn from the foot of the old offering-hall graph	一座高高的廟堂，擺上祭品——獻給祖先，祖先受用。從神明受享，到活人享用：享受、享有、分享。
京	jīng	noun — capital city	京=form:a tall hall on a high mound	人堆起的高台上蓋著高樓——上面尖屋頂，下面長柱子，一眼望去最高的建築。最高的樓聚在哪裡，哪裡就是京城：北京、東京。
亮	liàng	adjective — bright	高=meaning:a tall tower, written short — its lower storey given to the figure below | 儿=meaning:a person, legs showing	人（儿）站上高（高，省了下半）樓——高處沒有東西擋光。亮：天亮、月亮；聲音也可以亮——響亮。
人	rén	noun — person, human	人=form:a person in profile — body and arm, leg in stride	側面畫的一個人：一撇是身體和垂著的手臂，一捺是跨出去的腿。當部件時，瘦成字左邊的亻：你、他、作。兩筆，寫所有字繞著轉的那個詞。
什	shén/shí	pron — what (什麼)	亻=meaning:a person | 十=meaning:ten	人（亻）加十（十）——十個人一隊、十戶一組的編制；從成組引申出各式各樣的東西（什物）。「什麼」只是借它的聲音。
仁	rén	noun — benevolence, humaneness	亻=meaning:a person | 二=meaning:two — a second person; the bond between people	一個人（亻）加上二：一個人面對另一個人。人與人之間流動的，就是仁——仁愛、仁慈。果核裡的種子借走這個字：杏仁，藏在殼裡的仁。
仇	chóu	noun — an enemy	亻=meaning:a person — the rival you face | 九=sound:jiǔ — gives the sound, worn from j to ch	一個人（亻）跟你對立，九（jiǔ）給聲音，j 磨成了 ch。站在對面的，就是仇人、仇敵；兩人之間的怨，就是仇恨、報仇。
今	jīn	noun — now	今=form:a mouth closed over something held — drawn whole	嘴含著東西合起來——這是含最早的寫法。「現在」把字借走就沒還：今天、今年、如今。那一口後來補了個口，寫成含。
介	jiè	verb — to stand between	介=form:rendered whole — see the two tellings	站在中間。古文字有兩個說法：人（人）站在兩個記號之間，或是人身前身後綁著甲片——都是夾在兩邊之間的。介紹、仲介、介於，都從中間來。
仍	réng	adverb — still, yet, as before	亻=meaning:a person, carrying on | 乃=sound:gives the sound	一個人（亻）照舊往下走。乃（nǎi）給聲音，磨成了 réng。意思落在「還是老樣子」：仍然、仍舊。
仔	zǐ/zǎi	adjective — careful, meticulous (zǐ) — noun — a young animal	亻=meaning:a person | 子=sound:gives the sound	一個人（亻）旁邊一個子，子給聲音 zǐ，本身又是「孩子」。讀 zǐ 是仔細，連小地方都顧到；讀 zǎi 是小的那一隻：牛仔。子在這裡身兼兩職——既是聲音，也帶點意思。
仕	shì	verb — to serve as an official	亻=meaning:a person — the one who serves | 士=sound:shì — gives the sound, and also the meaning: a scholar-officer	一個人（亻）配上士（shì），讀書任事的士人——聲音和意思都在這裡。走進官場的人，就是仕：仕途、出仕。
他	tā	pronoun — he	亻=meaning:a person | 也=sound:yě — gives the sound	亻是人——別的那個人；也表聲。後來一分為三：他、她、牠。
仗	zhàng	verb — to rely on, lean on	亻=meaning:a person | 丈=sound:zhàng — gives the sound	一個人（亻）配丈（zhàng）——可倚的長杖。說文說「兵杖也」——兵器，士兵手裡的杖械。從手中的杖而來：兵仗、依仗、打仗、勝仗。
付	fù	verb — to hand over, pay	亻=meaning:a person — the one receiving | 寸=meaning:a hand (寸 marks the hand at the wrist) holding something out	一隻手（寸）把東西遞給一個人（亻）——交、給。付錢；把事交給人，交付、付託。當聲符用，蓋出一排：附、府、符、咐。
仙	xiān	noun — immortal	人=meaning:a person | 山=meaning:a mountain	人（人）上了山（山）——離開塵世、住在高處、長生不死的那個人。由這山上的隱者：神仙、仙人，再到那超凡的氣息——仙境。
代	dài	verb — to take the place of	亻=meaning:a person, stepping in | 弋=sound:yì — gives the sound, worn to dài	一個人（亻）站上別人原來的位置——代替。弋（yì）給聲音，磨成了 dài，整排都這樣讀：代、袋、貸。一個接一個站上同個位置，也是時間：一代人、一個時代。
令	lìng	verb — to order, to command	亼=meaning:a roof, things gathered under it | 卪=meaning:a person kneeling to receive	在聚攏的屋蓋（亼）下，有人跪著（卪）接受發下來的命令。合起來就是「下令」。那個跪著的人形磨成了底下的一橫加鉤。從命令引出法令、令人。
以	yǐ	prep — with, by means of	以=form:rendered bare (origin carries no claimed role)	文法裡安靜的工具字：用、拿、為了——可以、以後、以為，都靠它接起來。
仰	yǎng	verb — to look up	亻=meaning:a person | 卬=sound:gives the sound	一個人（亻）加在卬上，卬本來就畫一個仰頭的人望著另一個站得高的人——卬給聲音 áng，磨成了 yǎng。畫面還在：頭往後仰，抬頭看。從仰望引出仰慕、仰賴——抬頭指望別人。
件	jiàn	measure/noun — item, piece	亻=meaning:a person | 牛=meaning:an ox	人（亻）把牛（牛）分開——牛大，分得開，分出來的每一塊就是一件。凡是一件一件分得開的，都用件數：一件事、一件衣服，還有條件、文件的件。
任	rèn	verb/noun — to bear	亻=meaning:a person | 壬=sound:rén — gives the sound	人（亻）加壬（rén）的聲音，調變了。本義是擔——把擔子接上肩。擔著的就是責任、任務；把擔子放到誰肩上，是任命；隨他怎麼擔，是任由。
份	fèn	noun/measure — a portion, share	亻=meaning:a person — whose share it is | 分=sound:fēn — gives the sound, and the splitting too	分 是刀（刀）把東西切成兩半——又給聲音又給「分開」的意思。配上人（亻），就是落到某人頭上的那一份：一份、股份；屬於你的那份事，本份。聲音升到 fèn。
仿	fǎng	verb — to imitate, copy	亻=meaning:a person — the one copying | 方=sound:fāng — gives the sound, only the tone shifts	一個人（亻），方（fāng）給聲音，聲調往下沉成 fǎng。站到別人旁邊，照著做——模仿、仿照；做得像真的，就是仿冒、仿佛。
企	qì	verb — to stand on tiptoe	人=meaning:a person | 止=meaning:a foot — the heel lifted	人（人）下面一隻腳（止）——腳跟提起來，踮著腳看遠方。合起來寫的是踮腳張望：企盼、企圖，還有望出去要做的事——企業。
伊	yī	pronoun — that one, he/she (literary) — particle in some com	亻=meaning:a person | 尹=sound:gives the sound	一個人（亻）旁邊一個尹，尹畫一隻手握著象徵職權的杖，給聲音 yǐn，磨得遠遠成了 yī。用來指「那個人、他／她」（文言）：伊人。也起頭：伊始。
伍	wǔ	noun — a squad of five	亻=meaning:a person — one soldier in the file | 五=sound:wǔ — gives the sound exactly, and also the count: five	一個人（亻）配上五（wǔ），聲音和意思都在這裡：五。古代軍隊最小的一組就是五人——伍。從這一組到整列隊伍：入伍、隊伍。
伏	fú	verb — to lie low, crouch	亻=meaning:a person | 犬=meaning:a dog, crouched at the person's side, keeping watch	一隻狗（犬）伏在人（亻）腳邊，貼地守著——趴下、低伏。從伏地到埋伏：埋伏、伏擊；壓得萬物低伏的暑氣，就是伏天。
休	xiū	verb — to rest	亻=meaning:a person, standing | 木=meaning:a tree	人（亻）靠著樹（木），寫的就是休息。
伙	huǒ	noun — a companion, a band	亻=meaning:a person | 火=sound:gives the sound	一個人（亻）配一團火（火）。火給聲音 huǒ，那一團共用的炊火也染上意思：在同一個火上吃飯的人——一伙、一夥。從這裡引出伙伴、伙食、同伙。火身兼兩職——既是聲音，也是共用的灶。
伯	bó	noun — father's elder brother	亻=meaning:a person — a male relative | 白=sound:bái — gives the sound	人（亻）配上 白（bái）的聲——兄弟裡排最大的，輩分最高的男人：伯父、伯爵，坐在最上頭的那一位。聲音從 bái 變成 bó。
估	gū	verb — to estimate, reckon, appraise	亻=meaning:a person — the one appraising | 古=sound:gǔ — gives the sound, only the tone lifts	一個人（亻），古（gǔ）給聲音，聲調抬成平聲 gū。掂量一件東西，說出它值多少——估計、估價；對還沒法量準的東西心裡有數，就是估量、低估。
伴	bàn	noun — a companion — verb — to accompany	亻=meaning:a person | 半=sound:gives the sound	一個人（亻）配一個半。半給聲音 bàn，「一半」也帶出意思：陪在你身邊的另一半——同伴。從這裡引出伴侶、陪伴、伴奏。半身兼兩職——既是聲音，也暗示「相配的另一半」。
伸	shēn	verb — to stretch, extend, reach out	人=meaning:a person | 申=sound:shēn — gives the sound	人（人）配上申（shēn，本就有拉長的意思）。合起來：身子伸展、拉長——伸手、伸展。由身體的伸，到把道理講開——伸冤、伸張。
伺	sì	verb — to watch for, to wait upon, to lie in wait	亻=meaning:a person | 司=sound:gives the sound	一個人（亻）配一個司，司是掌管、看守——司給聲音 sī，斜成了 sì。合起來：一個人盯著、守著，等時機。從這裡引出伺候、伺機、窺伺。司不只是聲音，也帶「看守」的意思。
似	sì/shì	verb — to resemble, to seem (sì) — particle — like, as if (s	亻=meaning:a person | 㠯=sound:gives the sound	一個人（亻）旁邊一個㠯，㠯是「以」的古寫，給聲音 yǐ，磨得遠遠成了 sì。意思落在「一個人像另一個」：相似、好像。讀 shì 時軟成語助詞：似的，「…的樣子」。古正字本作佀，今字把右邊換成了㠯／以。
但	dàn	conj — but	亻=meaning:a person | 旦=sound:dàn — gives the sound exactly	一個人（亻）打赤膊——本義是露出皮膚，這件事今天歸袒管；旦（dàn）給聲音，一點沒變。字被借去寫「光剩下」的意思：只（但願）、可是（但是）——其他都剝掉，只留一件。
佇	zhù	verb — to stand a long while, linger	亻=meaning:a person — standing | 宁=sound:zhù — gives the sound, and the sense of holding a place	一個人（亻）配上宁（zhù），那是收存東西、守住一處的空間——合起來，人定在一個地方。久久站著，等待：佇立、佇候。
佈	bù	verb — to spread out, announce, arrange	亻=meaning:a person — the doer | 布=sound:bù — gives the sound	布是一匹鋪平的布；佈在旁邊加了個人（亻）——把做事的人寫進去，動詞自成一字。布也給聲音，一點沒變。鋪開是分佈，話傳開是宣佈，東西擺開是佈置。
位	wèi	noun — position, place, seat	亻=meaning:a person | 立=meaning:standing — a figure planted on the ground	人（亻）站（立）在自己該站的地方——上朝的人各按品級站定，那一格就是位。位子、座位是那一格；人在世上的那一格，是地位；客氣地數人，就一位一位地數。
低	dī	adjective — low	亻=meaning:a person | 氐=sound:dī — gives the sound, exactly	人（亻）往地面壓下去。氐給聲音，一點沒變——氏踩在一條底線（一）上，到底了。屋低、頭低、聲音低、價錢低：低頭、低聲。
住	zhù	verb — to live somewhere	亻=meaning:a person | 主=sound:zhǔ — gives the sound	人（亻）停下來——留住。主給聲音，調子從 zhǔ 彎過來；它的古形是燈座上一朵火苗。停下來就住下來——住在台北；接在動詞後面就抓得牢牢的：記住、站住。
佑	yòu	verb — to help, to protect, to bless	亻=meaning:a person lending help | 右=sound:gives the sound	一個人（亻）配一個右，右是右手。右給聲音 yòu，那隻幹活、幫忙的右手也帶出意思：搭把手、護著。從這裡引出保佑、庇佑、天佑。右身兼兩職——既是聲音，也是那隻幫忙的手。
佔	zhàn	verb — to occupy, take up, seize	人=meaning:a person | 占=sound:zhàn — gives the sound, and the older 占 already meant to take by claim	一個人（人，亻）站定一塊地、據為己有——佔。占（zhàn）給聲音，也帶著本義：占就是憑卜兆認下地盤。加上亻，落到「人佔了位子」：佔有、佔領、佔據。
何	hé	pron — what, how, why	亻=meaning:a person, carrying | 可=sound:kě — gives the sound	古文字是一個人（亻）肩上扛著東西——本義是扛。問話的「何」借走了這個扛東西的字；扛的意思後來搬去荷。可（kě）給聲音，k 磨成了 h。
佛	fó	noun — the Buddha	亻=meaning:a person — here, the awakened one | 弗=sound:fú — gives the sound	一個人（亻）配弗（fú）的聲音：佛陀從印度傳來時，這個現成的字把弗的音彎成 fó 去接那個外來名號。它指覺者——佛陀、佛教、念佛。它走弗這一排：費、沸、拂。
作	zuò	verb — to do, make	亻=meaning:a person, at work | 乍=sound:zhà — gives the sound; itself the old graph for making	人（亻）在做東西。乍本來自己就寫「做」；後來被借去寫「突然」，就加上一個人，把做事的人留在字裡。乍（zhà）仍然給聲音。
你	nǐ	pron — you	亻=meaning:person mark (亻)	古文的「爾」就是你；寫快了磨成尔，再加一個人（亻）站在旁邊，成了口語的你。讀音裡的 n 是爾古時的聲母——爾自己後來丟了，你還留著。
佩	pèi	verb — to wear at the waist	亻=meaning:a person — the wearer | 凡=form:the band of the sash, slung at the waist | 巾=meaning:the cloth — the hanging ornament itself	一個人（亻），腰間繫帶（凡），垂下布製的飾物（巾）——貴族佩戴的玉與飾物：佩玉、佩飾。把東西掛在身上，引申到帶著敬意去服膺、敬重一個人：佩服、敬佩。
佳	jiā	adjective — fine, excellent, admirable	亻=meaning:a person | 圭=sound:gives the sound	一個人（亻）旁邊一個圭，圭是高高的玉版（兩個土疊起來）。圭給聲音 guī，磨成了 jiā。意思落在「夠格、出色的人」——美好、可讚：最佳、佳人、佳釀。
併	bìng	verb — to combine, to merge, to put side by side	亻=meaning:a person | 并=sound:gives the sound	一個人（亻）配一個并，并本來就畫人並在一起。并給聲音 bìng，它自己「並排相連」的意思也直接灌進併：合在一起、合併。從這裡引出合併、併吞、併肩、併發。并身兼兩職——既是聲音，也是那「並」。
使	shǐ	verb — to send	亻=meaning:a person | 吏=sound:lì — an official; gives the sound	人（亻）站在官（吏）旁邊——接了命令，被派出去。吏、史、事、使本是一個老字分出來的；聲音從 lì 走到 shǐ。被派的人是使者、大使；派遣這件事，後來也讓事情發生（使人高興）、讓東西做事（使用）。
來	lái	verb — to come	來=form:a wheat plant drawn whole — stalk, leaves, drooping ears	整株畫下來的麥子——稈、葉、垂下來的麥穗。本義是麥；「來」把字借走就沒還，麥子搬進了麥。古書把這筆借貸說圓了：麥是遠方來的穀。
侈	chǐ	adjective — extravagant, lavish, excessive	亻=meaning:a person — the one living large | 多=sound:duō — gives the sound, the initial and tone both pushed off course	一個人（亻），多（duō）給聲音，聲音漂得很遠，d 硬成了 ch。一個人要的比夠用還多，揮霍無度——奢侈、侈靡、窮奢極侈。
例	lì	noun — an example, case, precedent	亻=meaning:a person — a case set beside others | 列=sound:liè — gives the sound	列（liè）——刀（刂）把骨頭（歹）一根根排好，排列的圖——給聲音。配上人（亻），就是舉出來跟其他並列的一個：例子；定下規矩的那個，例外、慣例。聲音從 liè 磨成 lì。
侍	shì	verb — to wait on, attend, serve (a superior)	亻=meaning:a person | 寺=sound:sì — gives the sound	人（亻）配 寺（sì）給聲音——站在旁邊伺候人的那一個。寺本是當差的官署；派在那裡服事的人，就是侍。侍候、侍奉、侍衛——伺候、服事、護衛在旁。
供	gōng/gòng	verb — (gōng) to supply, provide	亻=meaning:a person | 共=sound:gòng — gives the sound	人（亻）把東西擺出來；共——兩隻手一起捧起一樣東西——給聲音，也給了那個動作。捧給神明讀 gòng：供奉、上供；交給人用讀 gōng：供給、提供；攤在堂上的，是口供。
依	yī	verb — to lean on, rely on	亻=meaning:a person — the one leaning | 衣=sound:yī — gives the sound exactly	一個人（亻），衣（yī）給聲音，音完全一樣。身子裹進衣裡，靠著它取暖——依靠、依賴；再引申到照著規矩走，依照、依據；以及一切照舊，依舊。
侮	wǔ	verb — to insult, bully, treat with contempt	亻=meaning:a person — the one wronged | 每=sound:měi — gives the sound, drifted hard to wǔ	一個人（亻），每（měi）給聲音，磨得很遠，成了 wǔ。把人看輕，欺負羞辱——侮辱、欺侮、侮慢。
侵	qīn	verb — to encroach, invade	人=meaning:a person | 帚=meaning:a broom | 又=meaning:a hand	人（人）和一隻手（又）拿著掃帚（帚），一步一步往前掃。畫面就是慢慢推進——一點一點進去。由這緩緩的進逼：侵入、侵略，到被它磨掉的權益——侵害、侵權。
侶	lǚ	noun — companion, partner (伴侶, 情侶)	亻=meaning:a person | 呂=sound:lǚ — gives the sound	人（亻）配呂（lǚ）給聲音——呂本身就是兩塊疊在一起的東西。說文說「徒侶也」，同路的人。和你成雙走的那個：伴侶、情侶、僧侶。
便	biàn	adjective — convenient	亻=meaning:a person | 更=meaning:to change	人（亻）加更——不順的，人去更改，就便了。一字兩音：方便的便，便宜的便。
係	xì	verb — to tie to, relate	亻=meaning:a person | 系=sound:xì — gives the sound exactly	人（亻）身上繫著絲線——系（xì）給聲音，也給「綁住」的意思。被綁在一起，就有了關係；公文裡的「係」，是把東西釘在名字上的「是」。
促	cù	verb — to urge, press	亻=meaning:a person | 足=sound:zú — gives the sound	一個人（亻）被逼得很近——擠、急、被催著走。足（zú）給聲音，z 滑成了 c。從這「逼近」來了催促、急促；逼得沒了空間或時間，就是短促。
俄	é	adj/adv — leaning, tilted	亻=meaning:a person | 我=sound:wǒ — gives the sound	人（亻）斜著身子——傾、不正。我（wǒ）給聲音，今音已偏離。從傾斜引到極短的時間：俄而、俄頃，一轉眼。這個音也借去寫國名——俄國。
