# tsumugu-ed public word list · headword	pinyin	gloss (full en definition)	level · built 2026-08-26 from entries/words + indexes/by-level.json
上漲	shàngzhǎng	verb — to rise, to go up (of prices, water levels)	TOCFL 7
上班	shàngbān	verb — to go to work; to be on duty	TOCFL 1
上當	shàngdàng	verb — to be tricked, taken in, fall for a scam	TOCFL 3
上癮	shàngyǐn	verb — to become addicted, get hooked (on a substance or habit)	TOCFL 5
上空	shàngkōng	noun — the sky above a place, the airspace overhead	TOCFL 5
上級	shàngjí	noun — superiors; higher authorities	TOCFL 6
上網	shàngwǎng	verb — to go online; to get on the internet	TOCFL 1
上臺	shàngtái	verb — to go on stage, take the platform; to come to power, take office	TOCFL 4
上街	shàngjiē	verb — to go out into the street, go shopping or out on the town	TOCFL 3
上衣	shàngyī	noun — an upper garment, top (shirt, jacket)	TOCFL 2
上課	shàngkè	verb — to attend class; (of a teacher) to teach a class	TOCFL 1
上路	shànglù	verb — to set off on a journey, hit the road; (figurative) to get the hang of something	TOCFL 5
上述	shàngshù	adjective — above-mentioned, aforesaid	TOCFL 5
上進	shàngjìn	verb — to strive to improve, be eager to better oneself	TOCFL 5
上門	shàngmén	verb — to come to one's door, visit in person, call on (a customer or household)	TOCFL 5
上面	shàngmiàn	noun — the top, the surface; above; (the authorities) higher up	TOCFL 4
上頭	shàngtou	noun — the top, above, on top; (colloquial) the higher-ups, the boss / authorities	TOCFL 4
下令	xiàlìng	verb — to give an order; to issue a command	TOCFL 5
下來	xiàlái	verb — to come down; (as a complement) to settle into a finished or fixed state	TOCFL 3
下列	xiàliè	adjective — listed below, the following (items)	TOCFL 5
下午	xiàwǔ	noun — afternoon	TOCFL 1
下午茶	xiàwǔchá	noun — afternoon tea (tea with light snacks taken in the afternoon)	TOCFL 4
下去	xiàqu	verb — to go down, descend; (after a verb) to keep on, carry on doing	TOCFL 4
下崗	xiàgǎng	verb — to be laid off, lose one's job; to come off duty (a post)	TOCFL 6
下巴	xiàba	noun — the chin; (loosely) the lower jaw	TOCFL 4
下旬	xiàxún	noun — the last ten days of a month (the 21st onward)	TOCFL 5
下棋	xiàqí	verb — to play chess, play a board game (go, chinese chess, etc.)	TOCFL 4
下水	xiàshuǐ	verb — to enter the water, launch (a boat); (figurative) to get drawn into wrongdoing	TOCFL 5
下水道	xiàshuǐdào	noun — sewer, drainage channel carrying waste water away	TOCFL 5
下游	xiàyóu	noun — lower reaches of a river, downstream; (figurative) the downstream / trailing end of a chain	TOCFL 4
下滑	xiàhuá	verb — to slide downward, decline (of figures, prices, performance)	TOCFL 5
下班	xiàbān	verb — to get off work; to finish a shift	TOCFL 1
下筆	xiàbǐ	verb — to put pen to paper, start writing or painting	TOCFL 5
下課	xiàkè	verb — to finish class; (class) to be dismissed	TOCFL 1
下跌	xiàdiē	verb — to fall, drop (of prices, values, indices)	TOCFL 5
下降	xiàjiàng	verb — to drop; to descend; to fall	TOCFL 5
下雨	xiàyǔ	verb — to rain (rain falls)	TOCFL 1
下雪	xiàxuě	verb — to snow (snow falls)	TOCFL 1
下面	xiàmiàn	noun — below; underneath; the part that follows	TOCFL 4
不下	búxià	phrase — no fewer than, not less than (a stated amount); also "cannot get … down"	TOCFL 5
不久	bùjiǔ	adverb — soon, before long; not long (ago / after)	TOCFL 1
不但	bùdàn	conjunction — not only (paired with 而且 / 還)	TOCFL 3
不住	búzhù	verb-complement — unable to hold; adverb — incessantly, without stopping	TOCFL 7
不便	búbiàn	adjective — inconvenient, awkward; noun — inconvenience	TOCFL 5
不停	bùtíng	adverb — without stopping; ceaselessly, on and on	TOCFL 3
不僅	bùjǐn	conjunction — not only, not merely (often paired with 還/也 "…but also")	TOCFL 4
不免	bùmiǎn	adverb — unavoidably; cannot help but	TOCFL 4
不公	bùgōng	adjective — unfair, unjust; noun — unfairness	TOCFL 5
不再	bùzài	adverb — no longer; not anymore; never again	TOCFL 3
不凡	bùfán	adjective — extraordinary, out of the ordinary, remarkable	TOCFL 5
不利	bùlì	adjective — unfavorable, disadvantageous, harmful (to)	TOCFL 5
不到	búdào	phrase — less than, not as much as, short of (a figure); (after a verb) fail to reach / not manage to	TOCFL 4
不力	búlì	adjective — ineffective, failing to do one's job well, lax (of effort or handling)	TOCFL 5
不動產	búdòngchǎn	noun — real estate, immovable property (land and buildings)	TOCFL 5
不及	bùjí	verb — to fall short of, not be as good as; phrase — too late to (do something)	TOCFL 5
不同	bùtóng	adjective — different; not the same	TOCFL 2
不在	bùzài	verb — to be absent; to not be in (a place)	TOCFL 1
不堪	bùkān	verb — cannot bear, cannot withstand; adjective — utterly (after a bad state), in a wretched state	TOCFL 5
不夠	bùgòu	verb/adj — not enough, insufficient	TOCFL 1
不大	bùdà	adverb — not very, not much; not particularly (so)	TOCFL 4
不好	bùhǎo	adjective — not good; bad; hard to (do)	TOCFL 1
不好意思	bùhǎoyìsi	phrase — excuse me; (I'm) sorry; to feel embarrassed	TOCFL 1
不如	bùrú	verb — to be not as good as; conjunction — would be better to	TOCFL 4
不妨	bùfáng	adverb — might as well, there's no harm in (doing something)	TOCFL 5
不安	bù'ān	adjective — uneasy, anxious, restless; ill at ease	TOCFL 4
不宜	bùyí	verb — to be unsuitable, not advisable	TOCFL 5
不客氣	bùkèqì	phrase — you're welcome; don't mention it; (also) impolite, blunt	TOCFL 1
不容	bùróng	verb — to not allow, to not tolerate; to leave no room for	TOCFL 5
不少	bùshǎo	adjective/adverb — quite a few; a considerable number; not a little	TOCFL 3
不平	bùpíng	adjective — uneven, not level; indignant, resentful at unfairness	TOCFL 4
不幸	bùxìng	adjective — unfortunate; adv — unfortunately; noun — misfortune	TOCFL 4
不得	bùdé	verb phrase — must not, may not; cannot	TOCFL 1
不得不	bùdébù	adverb — cannot but; have no choice but to; must	TOCFL 4
不得了	bùdéliǎo	phrase — extremely, terribly (熱得不得了 unbearably hot); an awful situation, a big deal	TOCFL 2
不得已	bùdéyǐ	adjective — having no choice; acting only because one must, against one's wish	TOCFL 4
不必	bùbì	adverb — need not; not have to	TOCFL 3
不惜	bùxī	verb — to not spare; to be willing to (go to any length, pay any price)	TOCFL 5
不懈	bùxiè	adjective — unflagging, tireless, unremitting	TOCFL 5
不成	bùchéng	verb — to fail, to not work out; particle — used at sentence end to mark a rhetorical question (could it be that…?)	TOCFL 4
不敢	bùgǎn	verb — to not dare; to lack the courage (to do something)	TOCFL 3
不敢當	bùgǎndāng	phrase — you flatter me; I don't deserve such praise (a modest reply to a compliment)	TOCFL 4
不料	bùliào	conj — unexpectedly, who would have thought; contrary to expectation	TOCFL 5
不斷	búduàn	adverb — continuously, unceasingly; verb — to be unbroken, to keep on	TOCFL 3
不時	bùshí	adverb — from time to time, every now and then; at any moment	TOCFL 5
不止	bùzhǐ	verb — to not stop, to keep on; adverb — more than, not limited to (a number)	TOCFL 4
不法	bùfǎ	adjective — unlawful, illegal; lawless	TOCFL 5
不準	bùzhǔn	adjective — inaccurate, off the mark, unreliable	TOCFL 5
不滿	bùmǎn	adjective — dissatisfied, discontented; noun — discontent	TOCFL 5
不然	bùrán	conjunction — otherwise, or else; (also) if not so	TOCFL 4
不用	bùyòng	adverb — no need to; there's no need	TOCFL 3
不用說	búyòngshuō	phrase — needless to say; it goes without saying	TOCFL 3
不由得	bùyóude	adverb — can't help but; cannot but	TOCFL 6
不當	bùdàng	adjective — improper, inappropriate, unsuitable	TOCFL 4
不知不覺	bùzhībùjué	adverb — unconsciously, without realizing it, before one knows it	TOCFL 5
不禁	bùjīn	adverb — can't help (doing); cannot hold back	TOCFL 6
不等	bùděng	adjective — unequal, varying, of differing amount	TOCFL 5
不管	bùguǎn	conjunction — no matter (what / how); regardless of	TOCFL 3
不肖	bùxiào	adjective — unworthy, undutiful (esp. of a son who does not take after his forebears)	TOCFL 5
不肯	bùkěn	verb — to be unwilling to, to refuse to	TOCFL 4
不至於	bùzhìyú	verb phrase — won't go so far as to; not to the point of; surely not	TOCFL 5
不致	bùzhì	verb phrase — won't lead to, won't result in; not such as to	TOCFL 5
不致於	bùzhìyú	verb phrase — won't go so far as to; not to the point of; surely not	TOCFL 5
不良	bùliáng	adjective — bad; harmful; poor (of quality, behaviour, influence)	TOCFL 1
不行	bùxíng	verb/adj — won't do; not allowed; no good	TOCFL 4
不見	bùjiàn	verb — to not see; to disappear, to go missing (不見了); to not meet	TOCFL 3
不見得	bùjiànde	adverb — not necessarily, not likely to (so)	TOCFL 4
不許	bùxǔ	verb — to forbid; must not, not allowed	TOCFL 6
不該	bùgāi	verb — should not; ought not to	TOCFL 4
不論	bùlùn	conjunction — no matter (what / how); regardless of	TOCFL 4
不變	bùbiàn	verb/adj — to stay the same; unchanging	TOCFL 2
不足	bùzú	adj/verb — insufficient, not enough; to fall short of	TOCFL 4
不過	bùguò	conjunction — but, however; adverb — only, no more than (不過如此 nothing more than this)	TOCFL 1
不遠	bùyuǎn	adv phrase — not far; close by, nearby	TOCFL 2
不錯	bùcuò	adjective — not bad; pretty good; correct	TOCFL 1
不顧	bùgù	verb — to disregard, to ignore; in spite of, regardless of	TOCFL 4
世上	shìshàng	noun phrase — in the world; on earth	TOCFL 2
世事	shìshì	noun — the affairs of the world, the ways of the world	TOCFL 5
世代	shìdài	noun — a generation; generation after generation, for generations	TOCFL 5
世界	shìjiè	noun — the world	TOCFL 2
世紀	shìjì	noun — century; a hundred-year period	TOCFL 3
世間	shìjiān	noun — in the world, on earth; the human world	TOCFL 5
丘陵	qiūlíng	noun — hills, hilly land	TOCFL 7
丟人	diūrén	verb — to lose face, to be disgraced; adjective — embarrassing, shameful	TOCFL 4
丟棄	diūqì	verb — to throw away, discard, abandon	TOCFL 5
丟臉	diūliǎn	verb — to lose face, to be disgraced; adjective — embarrassing, shameful	TOCFL 4
並且	bìngqiě	conjunction — moreover; and; in addition; furthermore	TOCFL 4
並列	bìngliè	verb — to stand side by side; to rank equally, be juxtaposed	TOCFL 5
並未	bìngwèi	adverb — have not at all, did not in fact (emphatic negation of the past)	TOCFL 5
並重	bìngzhòng	verb — to give equal weight to, lay equal stress on (two things)	TOCFL 5
並非	bìngfēi	verb — to be not (really); is by no means	TOCFL 5
中共	Zhōnggòng	proper noun — the Chinese Communist Party (CCP), the ruling party of the People's Republic of China	TOCFL 7
中午	zhōngwǔ	noun — noon, midday	TOCFL 1
中原	zhōngyuán	proper noun — the Central Plains, the lower Yellow River heartland regarded as the cradle of Chinese civilization	named-entity
中和	zhōnghé	verb — to neutralize, to counterbalance (esp. acid and base, opposing forces)	TOCFL 5
中國	zhōngguó	proper noun — China; the Chinese nation	TOCFL 1
中國隊	zhōngguóduì	proper noun — Team China; China's national squad in a sport	named-entity
中外	zhōngwài	noun/adj — China and abroad; Chinese and foreign	TOCFL 1
中央	zhōngyāng	noun — center; the central government; adjective — central	TOCFL 4
中學	zhōngxué	noun — middle school; secondary school (grades 7–12 in Taiwan)	TOCFL 3
中年	zhōngnián	noun — middle age, midlife	TOCFL 4
中庸	zhōngyōng	noun — the golden mean; moderation (Confucian)	TOCFL 5
中心	zhōngxīn	noun — center; core; hub	TOCFL 2
中文	zhōngwén	noun — the Chinese language; Chinese (written or spoken)	TOCFL 1
中斷	zhōngduàn	verb — to break off partway, interrupt, suspend	TOCFL 5
中旬	zhōngxún	noun — the middle ten days of a month (roughly the 11th to the 20th)	TOCFL 5
中暑	zhòngshǔ	verb — to get heatstroke, to be overcome by heat	TOCFL 5
中期	zhōngqī	noun — mid-term; the middle period or phase	TOCFL 4
中毒	zhòngdú	verb — to be poisoned; to be infected (by a computer virus); to be hooked on	TOCFL 4
中獎	zhòngjiǎng	verb — to win a prize, to win (a lottery, a draw)	TOCFL 5
中立	zhōnglì	verb/adj — to stay neutral; neutral, taking no side	TOCFL 5
中級	zhōngjí	adjective — intermediate, middle-level	TOCFL 4
中肯	zhòngkěn	adjective — apt, pertinent, right to the point	TOCFL 5
中華	zhōnghuá	proper noun — China; the Chinese nation and its civilization	named-entity
中葉	zhōngyè	noun — the middle period (of a century, a dynasty, an era)	TOCFL 5
中藥	zhōngyào	noun — traditional Chinese medicine (herbal remedies)	TOCFL 4
中軸線	zhōngzhóuxiàn	proper noun — the Central Axis, the north–south line on which old Beijing is laid out; (generally) a central axis	TOCFL 6
中途	zhōngtú	noun / adverb — midway, halfway; partway through	TOCFL 4
中部	zhōngbù	noun — the central part; the central region	TOCFL 2
中醫	zhōngyī	noun — traditional Chinese medicine; a practitioner of it	TOCFL 5
中間	zhōngjiān	noun/place word — middle; the space between; among; in the center	TOCFL 2
中風	zhòngfēng	verb/noun — to have a stroke; a stroke (cerebrovascular)	TOCFL 5
中餐	zhōngcān	noun — Chinese food, a Chinese meal; (also) the midday meal, lunch	TOCFL 3
主人	zhǔrén	noun — master; owner; host	TOCFL 3
主人翁	zhǔrénwēng	noun — master (of one's own affairs); protagonist	TOCFL 5
主任	zhǔrèn	noun — director; head; chief (of a department, office, or committee)	TOCFL 4
主力	zhǔlì	noun — the main force, the principal strength	TOCFL ?
主動	zhǔdòng	adj/adverb — on one's own initiative; proactive	TOCFL 4
主婦	zhǔfù	noun — housewife, the woman who runs a household	TOCFL 3
主宰	zhǔzǎi	verb/noun — to dominate, govern; the ruling force	TOCFL 5
主導	zhǔdǎo	verb — to lead, to dominate; adjective — leading, dominant	TOCFL 5
主峰	zhǔfēng	noun — the main peak, the highest summit of a range	TOCFL 5
主席	zhǔxí	noun — chairperson; chairman; president (of an organization)	TOCFL 3
主張	zhǔzhāng	verb — to advocate; to maintain (a position); noun — position; stance; claim	TOCFL 4
主意	zhǔyì	noun — an idea, a plan, a decision (one settles on)	TOCFL 4
主持	zhǔchí	verb — to preside over, to host, to chair, to run (a meeting, a show)	TOCFL 5
主持人	zhǔchírén	noun — host, presenter, MC (of a show or event)	TOCFL 5
主旨	zhǔzhǐ	noun — the main point, gist, purport	TOCFL 5
主權	zhǔquán	noun — sovereignty; supreme authority over a state or territory	TOCFL 7
主流	zhǔliú	noun — mainstream; the dominant current or trend	TOCFL 5
主管	zhǔguǎn	noun — a supervisor, a person in charge; verb — to be in charge of, to oversee	TOCFL 4
主義	zhǔyì	noun — -ism; doctrine; an organized set of beliefs (社會主義 socialism)	TOCFL 5
主要	zhǔyào	adjective — main, primary, chief	TOCFL 2
主見	zhǔjiàn	noun — one's own view; a mind of one's own	TOCFL 5
主觀	zhǔguān	adjective / noun — subjective; the subjective (one's own viewpoint rather than the facts)	TOCFL 4
主角	zhǔjué	noun — protagonist, lead role, main character; central figure	TOCFL 4
主軸	zhǔzhóu	noun — the main axis, central spindle; main thread	TOCFL 5
主辦	zhǔbàn	verb — to host, to organize, to be in charge of running (an event)	TOCFL 4
主題	zhǔtí	noun — theme; subject; main topic	TOCFL 4
主體	zhǔtǐ	noun — the main body; the principal part; the subject (in philosophy)	TOCFL 5
乃是	nǎishì	verb — to be (literary); namely is, is precisely	TOCFL 5
之上	zhīshàng	noun phrase — above; on top of	TOCFL 5
之內	zhīnèi	phrase — within, inside (a range or limit)	TOCFL 5
之前	zhīqián	time word — before; prior to; earlier than	TOCFL 3
之外	zhīwài	phrase — outside of; apart from; besides	TOCFL 5
之後	zhīhòu	time word — after; afterwards; following	TOCFL 2
之所以	zhīsuǒyǐ	conjunction — the reason that …; the reason why	TOCFL 5
之間	zhījiān	postposition — between; among; in the space of	TOCFL 2
之際	zhījì	noun phrase — at the moment of; on the occasion of	TOCFL 6
之類	zhīlèi	phrase — and the like, and such (after a list)	TOCFL 6
乒乓球	pīngpāngqiú	noun — table tennis, ping-pong; the ball used in it	TOCFL 4
乘客	chéngkè	noun — passenger (on a bus, train, plane, etc.)	TOCFL 4
乞丐	qǐgài	noun — beggar	TOCFL 5
也好	yěhǎo	phrase — that works too; fine then (accepting an option without enthusiasm)	TOCFL 1
也許	yěxǔ	adverb — perhaps; maybe; possibly	TOCFL 3
乾杯	gānbēi	verb — to drink a toast, to drink up; 'cheers!' (literally to empty the cup)	TOCFL 4
乾淨	gānjìng	adjective — clean; tidy; spotless	TOCFL 2
乾燥	gānzào	adjective — dry, arid (of air, ground, skin)	TOCFL 5
乾脆	gāncuì	adverb — simply, just; adj — straightforward, decisive	TOCFL 5
乾隆	qiánlóng	proper noun — the Qianlong era (1735–1796) and its Qing emperor	named-entity
了不起	liǎobùqǐ	adjective — remarkable, amazing, extraordinary	TOCFL 3
了解	liǎojiě	verb — to understand, to be clear about; noun — understanding	TOCFL 2
予以	yǔyǐ	verb — to give; to grant (formal, before a noun: 予以支持)	TOCFL 6
事件	shìjiàn	noun — event; incident; occurrence (notable or historically significant)	TOCFL 4
事先	shìxiān	adverb — beforehand, in advance, ahead of time	TOCFL 4
事兒	shìr	noun — a matter; a thing to deal with (colloquial, erhua)	TOCFL 1
事務	shìwù	noun — affairs, business, matters to handle	TOCFL 5
事宜	shìyí	noun — matters, arrangements (to be dealt with)	TOCFL 5
事實	shìshí	noun — a fact; the truth of what happened	TOCFL 4
事實上	shìshíshàng	adverb — in fact; actually	TOCFL 5
事情	shìqíng	noun — matter; affair; thing (abstract); business	TOCFL 2
事態	shìtài	noun — the state of affairs; the situation (esp. a worsening one)	TOCFL 5
事故	shìgù	noun — accident; mishap	TOCFL 5
事業	shìyè	noun — career; enterprise; cause; undertaking	TOCFL 4
事物	shìwù	noun — things, objects and matters (taken together)	TOCFL 5
事變	shìbiàn	noun — an incident; a (political/military) upheaval	TOCFL 5
事項	shìxiàng	noun — item, matter (on a list or agenda)	TOCFL 5
二年	èrnián	noun — two years; (in school) the second year	TOCFL 1
二級	èrjí	noun/adj — the second grade; second-level	TOCFL 4
二者	èrzhě	noun — the two; both of them (of two things just named)	TOCFL 4
互助	hùzhù	verb — to help one another, to give mutual aid	TOCFL 4
互動	hùdòng	verb / noun — to interact; interaction (between people, or with a system)	TOCFL 4
互惠	hùhuì	adjective/noun — mutually beneficial; reciprocal benefit	TOCFL 5
互相	hùxiāng	adverb — mutually; each other	TOCFL 4
互補	hùbǔ	verb/adjective — to complement each other; complementary	TOCFL 5
五一	wǔyī	noun — May 1, International Workers' Day; in China a public holiday and its surrounding break	TOCFL 3
五金	wǔjīn	noun — hardware; metal goods (lit. the five metals)	TOCFL 5
亞洲	yàzhōu	the continent of Asia	named-entity
亞熱帶	yàrèdài	noun — the subtropics, subtropical zone	TOCFL 6
亞軍	yàjūn	noun — runner-up; second place	TOCFL 5
亡國	wángguó	verb — to lose one's country; noun — a fallen / conquered state	TOCFL 5
交代	jiāodài	verb — to hand over (a duty); to brief, to instruct; to explain oneself, to account for	TOCFL 4
交友	jiāoyǒu	verb — to make friends, to form friendships	TOCFL 3
交往	jiāowǎng	verb — to associate with, to keep company with; to date; noun — social contact, dealings	TOCFL 4
交情	jiāoqíng	noun — friendship; the bond between friends	TOCFL 5
交換	jiāohuàn	verb — to exchange, to swap, to trade	TOCFL 4
交易	jiāoyì	noun — a transaction, a deal; verb — to trade	TOCFL 5
交流	jiāoliú	verb — to exchange (ideas, culture); to interact	TOCFL 4
交涉	jiāoshè	verb — to negotiate, to deal with (a party over a matter)	TOCFL 5
交給	jiāogěi	verb — to hand to; to give over to	TOCFL 2
交談	jiāotán	verb — to converse, to talk with each other	TOCFL 5
交貨	jiāohuò	verb — to deliver goods	TOCFL 5
交通	jiāotōng	noun — traffic; transportation; transit system	TOCFL 3
交錯	jiāocuò	verb — to interlace, to crisscross	TOCFL 5
交際	jiāojì	verb — to socialize, to mix with people; noun — social interaction, networking	TOCFL 4
交集	jiāojí	noun — intersection (of sets); overlap; shared ground	TOCFL 5
享受	xiǎngshòu	verb — to enjoy; noun — enjoyment, a pleasure	TOCFL 4
享有	xiǎngyǒu	verb — to enjoy (a right, prestige, or privilege), to be entitled to	TOCFL 6
京劇	jīngjù	noun — Peking opera, Beijing opera	TOCFL 4
